Age Group,Gender,Location (Home City),Favorite IPL Team:,Which IPL team do you dislike the most?,How long have you supported this team?,"How emotionally invested are you in IPL? (Scale: 1 - Not at all, 5 - Very emotionally invested)",Who is your favorite player in IPL?,Who do you think is the most overrated player?,Which player’s performance affects your mood the most?,Would you continue supporting your team if your favorite player left?,How do you react when your team wins?,How do you react when your team loses?,Do you think umpires are biased against certain teams?,How often do you engage in social media discussions after matches?,Have you ever argued with someone online about IPL?,How do you usually watch IPL?,Have you ever attended an IPL match in a stadium?,Which team do you think will win IPL this year?,Which player do you think will win the Orange Cap (Most Runs)?,Which player do you think will win the Purple Cap (Most Wickets)?,How do you react when your team wins? [Score],How do you react when your team wins? [Sentiment],How do you react when your team loses? [Score],How do you react when your team loses? [Sentiment]
19-25,Male,Ghaziabad,Royal Challengers Bengaluru,Chennai Super Kings,3-5 Years,4,Virat Kohli,Shreyas Iyer,Rohit Sharma,Yes, Happy, Neutral,Maybe,Often,No, Streaming Apps,Yes,Royal Challengers Bengaluru,Virat Kholi,Bhuvneshwar Kumar,0.5719,Positive,0.0,Neutral
19-25,Male,Ranchi,Delhi Capitals,Royal Challengers Bengaluru,Since the beginning of IPL,1,Ajinkya Rahane,Ruturaj Gaikwad,MS Dhoni,No, Doesn’t matter, Neutral,Yes,Never,Yes, Don’t watch regularly,No,Punjab Kings,Sanju Samson,Harshal Patel,0.0258,Neutral,0.0,Neutral
19-25,Male,Agra,Chennai Super Kings,Royal Challengers Bengaluru,Since the beginning of IPL,4,Ruturaj Gaikwad,Mitchell Starc,MS Dhoni,Maybe, Happy, Sad,Yes,Sometimes,No, Streaming Apps,No,Chennai Super Kings,Ruturaj Gaikwad,Mohammad Shami,0.5719,Positive,-0.4767,Negative
19-25,Male,Ghaziabad,Kolkata Knight Riders,Mumbai Indians,Since the beginning of IPL,4,Andre Russel,Shreyas Iyer,Hardik pandya,No, Excited, Neutral,No,Sometimes,Yes, TV,Yes,Kolkata Knight Riders,Jos Buttler,Jamie Overton,0.34,Positive,0.0,Neutral
19-25,Male,Unknown,Chennai Super Kings,Royal Challengers Bengaluru,3-5 Years,4,Shubhman Gill,,MS Dhoni,Yes, Happy, Neutral,No,Sometimes,Yes, Streaming Apps,No,Punjab Kings,Shubhman Gill,Yuzvendra Chahal,0.5719,Positive,0.0,Neutral
26-35,Female,Dhanbad,Chennai Super Kings,Kolkata Knight Riders,<1 Year,1,MS Dhoni,Abhishek Sharma,Jasprit Bumrah,No, Doesn’t matter, Doesn’t matter,Maybe,Never,No, Don’t watch regularly,No,Chennai Super Kings,Virat Kholi,Jasprit Bumrah,0.0258,Neutral,0.0258,Neutral
19-25,Male,Jabalpur,Mumbai Indians,Chennai Super Kings,Since the beginning of IPL,3,Rohit Sharma,Mitchell Starc,Travis Head,Yes, Happy, Sad,Yes,Often,No, Streaming Apps,Yes,Chennai Super Kings,Shubhman Gill,Arshdeep Singh,0.5719,Positive,-0.4767,Negative
19-25,Male,Ranchi,Chennai Super Kings,Delhi Capitals,Since the beginning of IPL,3,MS Dhoni,Shreyas Iyer,MS Dhoni,Maybe, Happy, Neutral,Maybe,,Yes, Streaming Apps,No,Chennai Super Kings,Ruturaj Gaikwad,Jasprit Bumrah,0.5719,Positive,0.0,Neutral
19-25,Male,Delhi,Mumbai Indians,Punjab Kings,Since the beginning of IPL,5,Rohit Sharma,,Jasprit Bumrah,Yes, Happy, Neutral,No,Often,Yes, Streaming Apps,No,Mumbai Indians,Abhishek Sharma,Trent Bolt,0.5719,Positive,0.0,Neutral
19-25,Male,Lucknow,Mumbai Indians,Punjab Kings,Since the beginning of IPL,5,Rohit Sharma,,Jasprit Bumrah,Yes, Happy, Neutral,No,Often,Yes, Streaming Apps,No,Mumbai Indians,Abhishek Sharma,Trent Bolt,0.5719,Positive,0.0,Neutral
